العاملين في القطاع الخاص ,,,,,,,,,,المنشأت في القطاع الخاص ,,,,,,,,,
تصنيف العاملين في القطلاع الخاص (سعودي/غير سعودي),,,,,,تصنيف العاملين في القطاع الخاص حسب المهنة,,,,تصنيف المنشآت حسب النوع (رئيسي/فرعي),,,,,تصنيف المنشآت في القطاع الخاص حسب عدة ابعاد ,,,,
سعودي,," 2,316,565 ",,,,المهنة,اجمالي العاملين,,,نوع المنشآة,,العدد,,,المنطقة, النشاط الاقتصادي,حجم المنشأة,لون النطاق,عدد المنشأت 
,,,,,,أخصائي أنشطة ثقافية,65,,,,,,,,جازان,إمدادات الكهرباء والغاز والبخار وتكييف الهواء,صغيرة (فئة ب),احمر,2
,,,,,,أخصائي أنشطة طلابية,206,,,,,,,,جازان,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,صغيرة (فئة ب),احمر,4
,,,,,,أخصائي أوبئة بيطرية,3,,,,,,,,جازان,الأنشطة العقارية,صغيرة (فئة ب),احمر,8
,,,,,,اخصائي اول,6,,,,,,,,جازان,الأنشطة المهنية والعلمية والتقنية,صغيرة (فئة ب),احمر,6
,,,,,,أخصائي أول فحص جودة / كارتوغرافي,0,,,,,,,,جازان,التشييد,صغيرة (فئة ب),احمر,184
,,,,,,أخصائي إيرادات حكومية,39,,,,,,,,جازان,التعدين واستغلال المحاجر,صغيرة (فئة ب),احمر,4
,,,,,,أخصائي ائتمان,1022,,,,,,,,جازان,التعليم,صغيرة (فئة ب),احمر,2
,,,,,,أخصائي بحث تربوي,7,,,,,,,,جازان,الخدمات الإدارية وخدمات الدعم,صغيرة (فئة ب),احمر,40
,,,,,,أخصائي بحث ديني,53,,,,,,,,جازان,الزراعة والحراجة وصيد الأسماك,صغيرة (فئة ب),احمر,30
,,,,,,أخصائي بحث فتاوى,3,,,,,,,,جازان,الصناعة التحويلية,صغيرة (فئة ب),احمر,108
,,,,,,أخصائي بحث قضايا,77,,,,,,,,جازان,الفنون والترفيه والتسلية,صغيرة (فئة ب),احمر,12
,,,,,,أخصائي براءة الاختراع,2,,,,,,,,جازان,المعلومات والاتصالات,صغيرة (فئة ب),احمر,5
,,,,,,أخصائي بصريات,1307,,,,,,,,جازان,النقل والتخزين,صغيرة (فئة ب),احمر,28
,,,,,,أخصائي بيانات ضخمة,37,,,,,,,,جازان,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,صغيرة (فئة ب),احمر,863
,,,,,,أخصائي بيئي,693,,,,,,,,حائل,غير خاضعة لانشطة ISIC4,صغيرة (فئة ب),احمر,99
,,,,,,أخصائي تاريخ,9,,,,,,,,حائل,أنشطة الخدمات الأخرى,صغيرة (فئة ب),احمر,38
,,,,,,أخصائي تأمين,3321,,,,,,,,حائل,أنشطة خدمات الاقامة والطعام,صغيرة (فئة ب),احمر,119
,,,,,,أخصائي تجارة الكترونية,750,,,,,,,,حائل,أنشطة صحة الانسان والعمل الاجتماعي,صغيرة (فئة ب),احمر,6
,,,,,,أخصائي تجاري,620,,,,,,,,حائل,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,صغيرة (فئة ب),احمر,2
,,,,,,أخصائي تحليل الأعمال,911,,,,,,,,حائل,الأنشطة العقارية,صغيرة (فئة ب),احمر,25
,,,,,,أخصائي تحليل جنائي رقمي,6,,,,,,,,حائل,الأنشطة المهنية والعلمية والتقنية,صغيرة (فئة ب),احمر,18
,,,,,,أخصائي تحليل مالي,8788,,,,,,,,حائل,التشييد,صغيرة (فئة ب),احمر,173
,,,,,,أخصائي تحول رقمي,404,,,,,,,,حائل,التعدين واستغلال المحاجر,صغيرة (فئة ب),احمر,1
,,,,,,أخصائي تخطيط قوى عاملة,346,,,,,,,,حائل,التعليم,صغيرة (فئة ب),احمر,4
,,,,,,أخصائي تخطيط مالي,384,,,,,,,,حائل,الخدمات الإدارية وخدمات الدعم,صغيرة (فئة ب),احمر,34
,,,,,,أخصائي تداول أوراق مالية,46,,,,,,,,حائل,الزراعة والحراجة وصيد الأسماك,صغيرة (فئة ب),احمر,29
,,,,,,أخصائي تدريب,2,,,,,,,,حائل,الصناعة التحويلية,صغيرة (فئة ب),احمر,83
,,,,,,أخصائي تدريب وتطوير موارد بشرية,2295,,,,,,,,حائل,الفنون والترفيه والتسلية,صغيرة (فئة ب),احمر,9
,,,,,,أخصائي تربية حيوانات,353,,,,,,,,حائل,المعلومات والاتصالات,صغيرة (فئة ب),احمر,1
,,,,,,أخصائي تربية خاصة,0,,,,,,,,حائل,النقل والتخزين,صغيرة (فئة ب),احمر,34
,,,,,,أخصائي تركيب صوتي,26,,,,,,,,حائل,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,صغيرة (فئة ب),احمر,453
,,,,,,أخصائي ترميم آثار,42,,,,,,,,حائل,لأنشطة المالية وأنشطة التأمين,صغيرة (فئة ب),احمر,1
,,,,,,أخصائي ترميم وثائق ومخطوطات,11,,,,,,,,عسير,غير خاضعة لانشطة ISIC4,صغيرة (فئة ب),احمر,72
,,,,,,أخصائي ترميم ولوحات فنية,19,,,,,,,,عسير,أنشطة الخدمات الأخرى,صغيرة (فئة ب),احمر,80
,,,,,,أخصائي تروية قلبية,10,,,,,,,,عسير,أنشطة خدمات الاقامة والطعام,صغيرة (فئة ب),احمر,532
,,,,,,أخصائي تسويق,158995,,,,,,,,عسير,أنشطة صحة الانسان والعمل الاجتماعي,صغيرة (فئة ب),احمر,18
,,,,,,أخصائي تشغيل الأنظمة,191,,,,,,,,عسير,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,صغيرة (فئة ب),احمر,1
,,,,,,أخصائي تشفير,6,,,,,,,,عسير,الأنشطة العقارية,صغيرة (فئة ب),احمر,24
,,,,,,أخصائي تصميم برامج تدريبية,409,,,,,,,,عسير,الأنشطة المهنية والعلمية والتقنية,صغيرة (فئة ب),احمر,18
,,,,,,أخصائي تصنيف وظيفي ومهني,19,,,,,,,,عسير,"الإدارة العامة والدفاع , الضمان الاجتماعي الالزامي",صغيرة (فئة ب),احمر,1
,,,,,,أخصائي تطوير إداري,1743,,,,,,,,عسير,التشييد,صغيرة (فئة ب),احمر,246
,,,,,,أخصائي تطوير البرمجيات,450,,,,,,,,عسير,التعدين واستغلال المحاجر,صغيرة (فئة ب),احمر,1
,,,,,,أخصائي تطوير سياحي,99,,,,,,,,عسير,التعليم,صغيرة (فئة ب),احمر,4
,,,,,,أخصائي تطوير مناهج,178,,,,,,,,عسير,الخدمات الإدارية وخدمات الدعم,صغيرة (فئة ب),احمر,67
,,,,,,أخصائي تطوير منتجات مالية,194,,,,,,,,عسير,الزراعة والحراجة وصيد الأسماك,صغيرة (فئة ب),احمر,72
,,,,,,أخصائي تعاقب وظيفي,6,,,,,,,,عسير,الصناعة التحويلية,صغيرة (فئة ب),احمر,194
,,,,,,أخصائي تعاون دولي,92,,,,,,,,عسير,الفنون والترفيه والتسلية,صغيرة (فئة ب),احمر,11
,,,,,,أخصائي تعويضات,101,,,,,,,,عسير,المعلومات والاتصالات,صغيرة (فئة ب),احمر,11
,,,,,,أخصائي تغذية,2158,,,,,,,,عسير,النقل والتخزين,صغيرة (فئة ب),احمر,54
,,,,,,أخصائي تغذية رياضيين,12,,,,,,,,عسير,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,صغيرة (فئة ب),احمر,"1,427"
,,,,,,أخصائي تغذية سريرية,387,,,,,,,,عسير,لأنشطة المالية وأنشطة التأمين,صغيرة (فئة ب),احمر,1
,,,,,,أخصائي تقنية إشعاعية,2182,,,,,,,,مكة المكرمة,غير خاضعة لانشطة ISIC4,صغيرة (فئة ب),احمر,399
,,,,,,أخصائي تقنية حيوية,35,,,,,,,,مكة المكرمة,أنشطة الخدمات الأخرى,صغيرة (فئة ب),احمر,341
,,,,,,أخصائي تقنية هندسة  إلكترونية,183,,,,,,,,مكة المكرمة,أنشطة خدمات الاقامة والطعام,صغيرة (فئة ب),احمر,"1,550"
,,,,,,أخصائي تقنية هندسة  تقنية معلومات,739,,,,,,,,مكة المكرمة,أنشطة صحة الانسان والعمل الاجتماعي,صغيرة (فئة ب),احمر,43
,,,,,,أخصائي تقنية هندسة  شبكات,174,,,,,,,,مكة المكرمة,إمدادات الكهرباء والغاز والبخار وتكييف الهواء,صغيرة (فئة ب),احمر,4
,,,,,,أخصائي تقنية هندسة  كهرباء,205,,,,,,,,مكة المكرمة,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,صغيرة (فئة ب),احمر,31
,,,,,,أخصائي تقنية هندسة  كيميائية,46,,,,,,,,مكة المكرمة,الأنشطة العقارية,صغيرة (فئة ب),احمر,184
,,,,,,أخصائي تقنية هندسة  مدنية,90,,,,,,,,مكة المكرمة,الأنشطة المهنية والعلمية والتقنية,صغيرة (فئة ب),احمر,83
,,,,,,أخصائي تقنية هندسة  ميكانيكية,209,,,,,,,,مكة المكرمة,التشييد,صغيرة (فئة ب),احمر,"1,750"
,,,,,,أخصائي تقنية هندسة أجهزة طبية,94,,,,,,,,مكة المكرمة,التعدين واستغلال المحاجر,صغيرة (فئة ب),احمر,11
,,,,,,أخصائي تقنية هندسة إنتاج,68,,,,,,,,مكة المكرمة,التعليم,صغيرة (فئة ب),احمر,46
,,,,,,أخصائي تقويم أسنان,2,,,,,,,,مكة المكرمة,الخدمات الإدارية وخدمات الدعم,صغيرة (فئة ب),احمر,508
,,,,,,اخصائي تقييم ثغرات,45,,,,,,,,مكة المكرمة,الزراعة والحراجة وصيد الأسماك,صغيرة (فئة ب),احمر,63
,,,,,,أخصائي تلوث هواء,23,,,,,,,,مكة المكرمة,الصناعة التحويلية,صغيرة (فئة ب),احمر,561
,,,,,,أخصائي تمريض,24566,,,,,,,,مكة المكرمة,الفنون والترفيه والتسلية,صغيرة (فئة ب),احمر,41
,,,,,,أخصائي تمريض أطفال,5,,,,,,,,مكة المكرمة,المعلومات والاتصالات,صغيرة (فئة ب),احمر,70
,,,,,,أخصائي تمريض الرعاية الحرجة,8,,,,,,,,مكة المكرمة,النقل والتخزين,صغيرة (فئة ب),احمر,382
,,,,,,أخصائي تمريض النساء والولادة,91,,,,,,,,مكة المكرمة,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,صغيرة (فئة ب),احمر,"5,483"
,,,,,,أخصائي تمريض أمومة وطفولة,35,,,,,,,,مكة المكرمة,لأنشطة المالية وأنشطة التأمين,صغيرة (فئة ب),احمر,28
,,,,,,أخصائي تمريض باطني وجراحي,8,,,,,,,,نجران,غير خاضعة لانشطة ISIC4,صغيرة (فئة ب),احمر,79
,,,,,,أخصائي تمريض تخدير,151,,,,,,,,نجران,أنشطة الخدمات الأخرى,صغيرة (فئة ب),احمر,60
,,,,,,أخصائي تمريض حديثي الولادة,4,,,,,,,,نجران,أنشطة خدمات الاقامة والطعام,صغيرة (فئة ب),احمر,91
,,,,,,أخصائي تمريض رعاية أولية,46,,,,,,,,نجران,أنشطة صحة الانسان والعمل الاجتماعي,صغيرة (فئة ب),احمر,2
,,,,,,أخصائي تمريض رعاية حرجة أطفال,2,,,,,,,,نجران,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,صغيرة (فئة ب),احمر,2
,,,,,,أخصائي تمريض رعاية كبار السن,12,,,,,,,,نجران,الأنشطة العقارية,صغيرة (فئة ب),احمر,14
,,,,,,أخصائي تمريض سريري,138,,,,,,,,نجران,الأنشطة المهنية والعلمية والتقنية,صغيرة (فئة ب),احمر,9
,,,,,,أخصائي تمريض صحة مجتمع,19,,,,,,,,نجران,التشييد,صغيرة (فئة ب),احمر,133
,,,,,,أخصائي تمريض صحة نفسية وعقلية,47,,,,,,,,نجران,التعليم,صغيرة (فئة ب),احمر,2
,,,,,,أخصائي تمريض طوارئ,407,,,,,,,,نجران,الخدمات الإدارية وخدمات الدعم,صغيرة (فئة ب),احمر,30
,,,,,,أخصائي تمريض متخصص,478,,,,,,,,نجران,الزراعة والحراجة وصيد الأسماك,صغيرة (فئة ب),احمر,64
,,,,,,أخصائي تمويل شركات,130,,,,,,,,نجران,الصناعة التحويلية,صغيرة (فئة ب),احمر,59
,,,,,,أخصائي تنظيم إداري,1971,,,,,,,,نجران,الفنون والترفيه والتسلية,صغيرة (فئة ب),احمر,5
,,,,,,أخصائي تنظيم مؤتمرات وفعاليات,493,,,,,,,,نجران,المعلومات والاتصالات,صغيرة (فئة ب),احمر,2
,,,,,,أخصائي تنقيب اثار,3,,,,,,,,نجران,النقل والتخزين,صغيرة (فئة ب),احمر,46
,,,,,,أخصائي تنقيب بيانات,59,,,,,,,,نجران,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,صغيرة (فئة ب),احمر,324
,,,,,,أخصائي تواصل داخلي,684,,,,,,,,الرياض,الخدمات الإدارية وخدمات الدعم,عملاقة,احمر,2
,,,,,,أخصائي توجيه تربوي,70,,,,,,,,الرياض,الصناعة التحويلية,عملاقة,احمر,1
,,,,,,أخصائي توجيه مهني,447,,,,,,,,الرياض,النقل والتخزين,عملاقة,احمر,2
,,,,,,أخصائي توريد للعلامات التجارية الخاصة,137,,,,,,,,الشرقية,أنشطة خدمات الاقامة والطعام,عملاقة,احمر,1
,,,,,,أخصائي توظيف,2437,,,,,,,,الشرقية,التشييد,عملاقة,احمر,2
,,,,,,أخصائي توعية جمهور,37,,,,,,,,الشرقية,التعدين واستغلال المحاجر,عملاقة,احمر,2
,,,,,,اخصائي ثاني,109,,,,,,,,الشرقية,الخدمات الإدارية وخدمات الدعم,عملاقة,احمر,5
,,,,,,أخصائي جغرافيا,286,,,,,,,,الشرقية,الصناعة التحويلية,عملاقة,احمر,3
,,,,,,أخصائي جمركي,169,,,,,,,,الشرقية,النقل والتخزين,عملاقة,احمر,2
,,,,,,أخصائي جودة,4271,,,,,,,,حائل,الصناعة التحويلية,عملاقة,احمر,1
,,,,,,أخصائي جودة مياه,130,,,,,,,,مكة المكرمة,التشييد,عملاقة,احمر,1
,,,,,,أخصائي حج وعمرة,8,,,,,,,,مكة المكرمة,الصناعة التحويلية,عملاقة,احمر,2
,,,,,,أخصائي حسابات ضرائب,442,,,,,,,,الباحة,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,كبيرة,احمر,2
,,,,,,أخصائي حماية بيئة,157,,,,,,,,الجوف,الخدمات الإدارية وخدمات الدعم,كبيرة,احمر,1
,,,,,,أخصائي حمية غذائية,24,,,,,,,,الجوف,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,كبيرة,احمر,3
,,,,,,أخصائي حوسبة سحابية,71,,,,,,,,الحدود الشمالية,الصناعة التحويلية,كبيرة,احمر,1
,,,,,,أخصائي حوسبة سحابية آمنة,11,,,,,,,,الحدود الشمالية,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,كبيرة,احمر,4
,,,,,,اخصائي خدمات التقنية,1087,,,,,,,,الرياض,غير خاضعة لانشطة ISIC4,كبيرة,احمر,6
,,,,,,أخصائي خدمات مصرفية,2081,,,,,,,,الرياض,أنشطة الخدمات الأخرى,كبيرة,احمر,3
,,,,,,أخصائي خدمة اجتماعية,2114,,,,,,,,الرياض,أنشطة خدمات الاقامة والطعام,كبيرة,احمر,8
,,,,,,أخصائي خدمة عملاء,33113,,,,,,,,الرياض,أنشطة صحة الانسان والعمل الاجتماعي,كبيرة,احمر,10
,,,,,,أخصائي خرائط رقمية,0,,,,,,,,الرياض,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,كبيرة,احمر,2
,,,,,,أخصائي خزانة,126,,,,,,,,الرياض,التشييد,كبيرة,احمر,83
,,,,,,أخصائي خصوصية وحماية بيانات,46,,,,,,,,الرياض,التعدين واستغلال المحاجر,كبيرة,احمر,1
,,,,,,أخصائي خوادم,177,,,,,,,,الرياض,التعليم,كبيرة,احمر,1
,,,,,,أخصائي دعاية وإعلان,1136,,,,,,,,الرياض,الخدمات الإدارية وخدمات الدعم,كبيرة,احمر,9
,,,,,,أخصائي دعم فني,8205,,,,,,,,الرياض,الزراعة والحراجة وصيد الأسماك,كبيرة,احمر,6
,,,,,,أخصائي دفاع سيبراني بنية تحتية,42,,,,,,,,الرياض,الصناعة التحويلية,كبيرة,احمر,18
,,,,,,أخصائي ذكاء اصطناعي,105,,,,,,,,الرياض,المعلومات والاتصالات,كبيرة,احمر,2
,,,,,,أخصائي ذكاء اصطناعي أمن سيبراني,23,,,,,,,,الرياض,النقل والتخزين,كبيرة,احمر,12
,,,,,,أخصائي ذكاء أعمال,422,,,,,,,,الرياض,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,كبيرة,احمر,43
,,,,,,أخصائي رصد زلازل,1,,,,,,,,الشرقية,غير خاضعة لانشطة ISIC4,كبيرة,احمر,1
,,,,,,أخصائي رعاية أحداث,11,,,,,,,,الشرقية,التشييد,كبيرة,احمر,39
